Kabupaten/Kota,Jumlah Kasus Penyakit - Angka Penemuan TBC,Jumlah Kasus Penyakit - Angka Keberhasilan Pengobatan TBC,Jumlah Kasus Penyakit - HIV/AIDS Kasus Baru,Jumlah Kasus Penyakit - Penemuan Kasus Baru Kusta per 100.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan Malaria per 1.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan DBD per 100.000 Penduduk
Bogor,28035,88.2,389,4.93,0.01,39
Sukabumi,12747,94.2,123,1.31,–,10
Cianjur,12451,91.9,77,0.35,0.01,48
Bandung,14441,88.9,100,0.21,0.01,49
Garut,9860,86.5,64,0.58,0.02,90
Tasikmalaya,4950,90.4,51,0.91,0.01,44
Ciamis,3649,86,33,0.54,–,58
Kuningan,3764,87.5,67,7.67,–,105
Cirebon,9077,82.1,105,7.44,–,48
Majalengka,4586,89.2,19,5.87,0.01,86
Sumedang,3412,90.2,22,0.78,0.05,121
Indramayu,6271,77.4,44,13.14,–,43
Subang,7587,88.6,37,9.26,0.01,75
Purwakarta,5048,86.9,61,4.05,0.01,44
Karawang,12579,81.4,110,8.85,0.03,294
Bekasi,13728,80,282,12.04,–,84
Bandung Barat,4312,90.4,7,0.42,0.03,97
Pangandaran,1022,84,10,0.89,0.01,58
Kota Bogor,10484,86.7,137,1.86,0.06,72
Kota Sukabumi,3454,76.2,42,1.35,0.05,274
Kota Bandung,18794,82.5,343,0.04,0.03,142
Kota Cirebon,3734,83.1,61,7.77,0.02,374
Kota Bekasi,12359,80.7,219,5.44,0.01,153
Kota Depok,8328,81.7,21,3.56,0.05,142
Kota Cimahi,4409,92.5,49,0.17,0.14,63
Kota Tasikmalaya,4219,85.3,60,1.15,0.01,92
Kota Banjar,1350,88.7,10,0.98,0.09,46
Jawa Barat,224650,86,2543,4.15,0.02,88
