Kabupaten/Kota,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk
Bogor,5489.5,1.54,11.25,2025,105.7
Sukabumi,2761.5,1.77,5.66,666,103.3
Cianjur,2506.7,1.57,5.14,653,105.3
Bandung,3666.2,1.56,7.52,2074,104
Garut,2604.8,0.99,5.34,847,105
Tasikmalaya,1883.7,1.33,3.86,738,102.9
Ciamis,1237.7,0.94,2.54,875,100.3
Kuningan,1180.4,1.45,2.42,1063,102.8
Cirebon,2291,1.2,4.7,2327,102.9
Majalengka,1319,1.38,2.7,1095,101.1
Sumedang,1159.4,0.79,2.38,764,101.9
Indramayu,1851.4,1.23,3.8,907,101.1
Subang,1608.6,1.11,3.3,849,100.6
Purwakarta,1011.5,1.82,2.07,1225,103.1
Karawang,2468.6,1.62,5.06,1494,102.7
Bekasi,3158,1.93,6.47,2578,103.1
Bandung Barat,1814.2,1.93,3.72,1389,104.3
Pangandaran,427.6,1.24,0.88,423,100.3
Kota Bogor,1052.4,1.19,2.16,8881,102.9
Kota Sukabumi,350.8,1.73,0.72,7271,101.4
Kota Bandung,2452.9,0.48,5.03,14630,101.4
Kota Cirebon,336.9,1.43,0.69,9017,100.8
Kota Bekasi,2564.9,1.12,5.26,12414,101.5
Kota Depok,2085.9,1.92,4.28,10415,101.9
Kota Cimahi,571.6,0.76,1.17,14556,101.8
Kota Tasikmalaya,723.9,1.45,1.48,4218,103.1
Kota Banjar,203.4,1.62,0.42,1792,100.7
Jawa Barat,48782.4,1.41,100,1379,103.1
