Kabupaten/Kota,
,Persentase Rumah Tangga yang Memiliki Akses Terhadap Sanitasi Layak (Persen)
,2024
Provinsi Jawa Barat,75.1
Bogor,67.18
Sukabumi,51.9
Cianjur,63.3
Bandung,69.12
Garut,49.99
Tasikmalaya,54.68
Ciamis,77.12
Kuningan,84.64
Cirebon,87.92
Majalengka,83.61
Sumedang,77.32
Indramayu,97.27
Subang,90.29
Purwakarta,83.01
Karawang,85.99
Bekasi,89.16
Bandung Barat,54.02
Pangandaran,90.3
Kota Bogor,71.49
Kota Sukabumi,45.88
Kota Bandung,55.9
Kota Cirebon,95.38
Kota Bekasi,99.08
Kota Depok,98.76
Kota Cimahi,76.44
Kota Tasikmalaya,53.16
Kota Banjar,91.07
