Kabupaten/Kota,
,Persentase Rumah Tangga yang Memiliki Akses Terhadap Sanitasi Layak (Persen)
,2023
Provinsi Jawa Barat,74.88
Bogor,71.49
Sukabumi,53.21
Cianjur,63.83
Bandung,66.67
Garut,54.68
Tasikmalaya,51.33
Ciamis,71.38
Kuningan,83.03
Cirebon,89.02
Majalengka,82.67
Sumedang,72.55
Indramayu,95.9
Subang,89.4
Purwakarta,77.33
Karawang,83.02
Bekasi,91.54
Bandung Barat,56.93
Pangandaran,86.91
Kota Bogor,74.36
Kota Sukabumi,44.76
Kota Bandung,56.01
Kota Cirebon,93.27
Kota Bekasi,98.52
Kota Depok,97.43
Kota Cimahi,76.37
Kota Tasikmalaya,56.25
Kota Banjar,89.06
