Kabupaten/Kota,Jumlah Kasus Penyakit - Angka Penemuan TBC,Jumlah Kasus Penyakit - Angka Keberhasilan Pengobatan TBC,Jumlah Kasus Penyakit - HIV/AIDS Kasus Baru,Jumlah Kasus Penyakit - Penemuan Kasus Baru Kusta per 100.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan Malaria per 1.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan DBD per 100.000 Penduduk
Bogor,26912,85.8,196,3.62,0,31
Sukabumi,10733,91.7,56,0.73,0.01,4
Cianjur,8980,83.3,59,0.38,0,35
Bandung,12295,81.5,45,0.1,0,20
Garut,8401,82.7,91,0.65,0.01,27
Tasikmalaya,3475,85.4,38,1.15,0.01,5
Ciamis,2931,77.6,20,–,0,19
Kuningan,3650,89.9,49,6.51,0,57
Cirebon,7928,90,118,7.86,–,33
Majalengka,4186,80.6,188,5.16,0.01,18
Sumedang,2937,84.1,41,1.26,0,110
Indramayu,5034,85.4,157,13.04,0,12
Subang,5550,90.1,51,6.55,0,39
Purwakarta,5384,81.7,47,3.73,0,45
Karawang,12369,79.1,64,7.3,0.01,42
Bekasi,11259,70.7,67,11.02,0,18
Bandung Barat,3959,88.3,23,0.47,–,78
Pangandaran,924,85.3,12,1.16,0.02,62
Kota Bogor,10096,74.3,113,2.31,0.06,132
Kota Sukabumi,3405,73.4,68,0.56,0.01,124
Kota Bandung,17497,77.8,250,0.16,0.01,78
Kota Cirebon,4101,86.9,73,4.03,0.06,71
Kota Bekasi,13562,73.9,142,4.84,0.01,39
Kota Depok,7519,79.5,108,1.9,0.06,41
Kota Cimahi,4428,75.8,56,0.36,0.08,55
Kota Tasikmalaya,4571,79.2,45,0.74,0.01,52
Kota Banjar,1140,94.2,7,0.49,0.01,28
Jawa Barat,203226,81.6,2184,3.59,0.01,38
