Kabupaten/Kota,
,Persentase Rumah Tangga yang Memiliki Akses Terhadap Sanitasi Layak (Persen)
,2025
Provinsi Jawa Barat,76.2
Bogor,67.17
Sukabumi,59.25
Cianjur,61.11
Bandung,70.4
Garut,53.35
Tasikmalaya,58.76
Ciamis,75.84
Kuningan,89.38
Cirebon,90.78
Majalengka,81.85
Sumedang,86.77
Indramayu,93.41
Subang,90.56
Purwakarta,74.37
Karawang,86.79
Bekasi,90.24
Bandung Barat,55.95
Pangandaran,93.02
Kota Bogor,74.41
Kota Sukabumi,46.61
Kota Bandung,56.5
Kota Cirebon,92.67
Kota Bekasi,97.93
Kota Depok,97.68
Kota Cimahi,79.18
Kota Tasikmalaya,56.37
Kota Banjar,93.02
