Kabupaten/Kota,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk
Bogor,5721.6,1.12,11.27,1912,105
Sukabumi,2852.1,0.96,5.62,685,102.6
Cianjur,2610.3,1.1,5.14,719,104.5
Bandung,3783.2,0.91,7.45,2173,103.4
Garut,2748.7,1.3,5.42,886,104.4
Tasikmalaya,1933.8,0.76,3.81,715,102.3
Ciamis,1266.3,0.63,2.49,793,99.8
Kuningan,1225.5,1.02,2.41,1027,102.5
Cirebon,2413.8,1.3,4.76,2252,102.4
Majalengka,1363.8,0.92,2.69,1025,100.4
Sumedang,1195.5,0.77,2.36,763,101.3
Indramayu,1932.5,1.1,3.81,931,100.5
Subang,1675.5,1.04,3.3,774,100
Purwakarta,1063,1.34,2.09,1070,102.7
Karawang,2581.3,1.2,5.09,1349,101.9
Bekasi,3303,1.26,6.51,2640,102.3
Bandung Barat,1907.8,1.37,3.76,1486,103.8
Pangandaran,436.5,0.63,0.86,387,99.7
Kota Bogor,1083.8,0.81,2.14,9731,102.4
Kota Sukabumi,370.7,1.44,0.73,7673,100.9
Kota Bandung,2548.8,0.89,5.02,15300,100.6
Kota Cirebon,347.5,0.88,0.68,8812,100.7
Kota Bekasi,2648.3,0.85,5.22,12431,100.7
Kota Depok,2168,1.12,4.27,10845,101.1
Kota Cimahi,606.4,1.37,1.19,14291,101.5
Kota Tasikmalaya,759.4,1.24,1.5,4128,102.3
Kota Banjar,212,1.13,0.42,1618,100.7
Jawa Barat,50759,1.06,100,1370,102.4
