Tahun,Kab/Kota,Kepadatan_Penduduk_jiwa_per_km2,Persen_Sanitasi_Layak,Curah_Hujan_mm,Suhu_Udara_Celcius,Angka_Kesakitan_DBD_per_100rb
2025,Indramayu,931,93.41,1289,28.6,43
2025,Subang,774,90.56,1845,27.4,75
2025,Purwakarta,1070,74.37,2112,26.7,44
2025,Karawang,1349,86.79,1712,27.9,294
2025,Bekasi,2640,90.24,1967,28.2,84
2025,Bandung Barat,1486,55.95,2245,24.0,97
2025,Pangandaran,387,93.02,2523,27.1,58
2025,Kota Bogor,9731,74.41,3845,26.2,72
2025,Kota Sukabumi,7673,46.61,2678,25.0,274
2025,Kota Bandung,15300,56.5,2134,23.8,142
2025,Kota Cirebon,8812,92.67,1434,27.9,374
2025,Kota Bekasi,12431,97.93,1912,28.1,153
2025,Kota Depok,10845,97.68,2289,27.5,142
2025,Kota Cimahi,14291,79.18,2189,24.1,63
2025,Kota Tasikmalaya,4128,56.37,2367,24.6,92
2025,Kota Banjar,1618,93.02,2112,25.2,46
