Kabupaten/Kota,Jumlah Kasus Penyakit - Angka Penemuan TBC,Jumlah Kasus Penyakit - Angka Keberhasilan Pengobatan TBC,Jumlah Kasus Penyakit - HIV/AIDS Kasus Baru,Jumlah Kasus Penyakit - Penemuan Kasus Baru Kusta per 100.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan Malaria per 1.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan DBD per 100.000 Penduduk
Bogor,28527,82,373,4.07,0,60
Sukabumi,12251,81,127,1.22,0,30
Cianjur,11924,88,100,0.73,0.01,75
Bandung,13678,88,106,0.16,0.01,66
Garut,9404,82,111,0.61,0.01,120
Tasikmalaya,4795,79,34,0.93,0.01,37
Ciamis,3299,82,45,–,0,113
Kuningan,3995,90,46,6.15,–,176
Cirebon,9414,85,173,7.56,0,77
Majalengka,4451,79,72,1.69,0.02,92
Sumedang,3750,68,50,0.93,0.04,194
Indramayu,5720,71,218,14.98,0,27
Subang,6234,80,115,7.61,0,116
Purwakarta,4616,90,78,3.54,0,104
Karawang,13133,82,101,7.03,–,128
Bekasi,14788,75,250,7.41,–,57
Bandung Barat,4474,91,24,0.41,0,195
Pangandaran,942,79,13,1.16,0.03,205
Kota Bogor,11230,80,181,1.06,0.03,289
Kota Sukabumi,3464,81,66,0.28,0.04,446
Kota Bandung,18462,82,305,0.16,0.02,295
Kota Cirebon,4054,80,36,5.9,0.02,160
Kota Bekasi,13445,87,214,4.15,0.01,158
Kota Depok,8269,84,110,3.06,0.04,233
Kota Cimahi,4434,85,54,–,0.09,141
Kota Tasikmalaya,4610,80,58,0.89,0.01,240
Kota Banjar,1435,80,15,0.49,0.01,191
Jawa Barat,224798,82,3075,3.37,0.01,119
