Kabupaten/Kota,Jumlah Kasus Penyakit - Angka Penemuan TBC,Jumlah Kasus Penyakit - Angka Keberhasilan Pengobatan TBC,Jumlah Kasus Penyakit - HIV/AIDS Kasus Baru,Jumlah Kasus Penyakit - Penemuan Kasus Baru Kusta per 100.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan Malaria per 1.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan DBD per 100.000 Penduduk
Bogor,71.1,80,...,3.53,–,20.63
Sukabumi,58.4,87.5,...,1.34,–,21.46
Cianjur,77.1,86.9,...,0.84,–,26.72
Bandung,60.9,84.6,...,0.24,–,59.9
Garut,57.2,71.7,...,0.49,–,26.4
Tasikmalaya,43.8,83.4,...,0.83,–,10.2
Ciamis,53.9,90.4,...,1.35,–,121.25
Kuningan,73.1,91.1,...,3.96,–,33.3
Cirebon,58.9,75.2,...,6.01,–,38.06
Majalengka,62.6,85.4,...,3.47,–,95.23
Sumedang,47,79.3,...,0.43,–,61.24
Indramayu,37,76.3,...,8.94,0.01,12.32
Subang,87.7,89.5,...,7.17,–,16.99
Purwakarta,75.2,91.4,...,3.2,–,54.94
Karawang,70.7,63.2,...,5.51,–,56.06
Bekasi,52.2,64.2,...,6.08,–,8.13
Bandung Barat,35.7,84.9,...,0.52,–,56.33
Pangandaran,45.6,19.8,...,1.35,0.01,48.82
Kota Bogor,56.4,84,...,0.4,0.02,20.85
Kota Sukabumi,115.3,81.7,...,0.17,0.01,196.86
Kota Bandung,102.1,80.2,...,–,–,111.15
Kota Cirebon,122.3,91.5,...,1.55,0.01,53.05
Kota Bekasi,59.1,59.6,...,2.92,–,53.32
Kota Depok,48.1,74.6,...,1.69,0.08,51.36
Kota Cimahi,87.3,94,...,–,0.07,61.9
Kota Tasikmalaya,48.7,77,...,0.75,–,212.2
Kota Banjar,56.2,98.9,...,0.15,–,79.65
Jawa Barat,63.8,77.7,836,2.81,0.01,45.3
