Kabupaten/Kota,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk
Bogor,5627,1.32,11.29,1881,105.3
Sukabumi,2802.4,1.02,5.62,673,102.9
Cianjur,2558.1,1.17,5.13,704,104.9
Bandung,3721.1,0.97,7.46,2138,103.7
Garut,2683.7,1.36,5.38,865,104.7
Tasikmalaya,1907.1,0.81,3.82,705,102.6
Ciamis,1251.5,0.66,2.51,784,100
Kuningan,1201.8,1.05,2.41,1007,102.6
Cirebon,2360.4,1.42,4.73,2202,102.6
Majalengka,1340.6,0.97,2.69,1008,100.7
Sumedang,1178.2,0.81,2.36,752,101.6
Indramayu,1894.3,1.18,3.8,912,100.8
Subang,1649.8,1.23,3.31,762,100.4
Purwakarta,1037.1,1.41,2.08,1044,102.9
Karawang,2526,1.28,5.07,1320,102.3
Bekasi,3237.4,1.44,6.49,2588,102.7
Bandung Barat,1859.6,1.43,3.73,1449,104
Pangandaran,431.5,0.67,0.87,382,100
Kota Bogor,1070.7,0.96,2.15,9614,102.7
Kota Sukabumi,360.6,1.48,0.72,7465,101.1
Kota Bandung,2506.6,0.92,5.03,15047,101
Kota Cirebon,342,0.94,0.69,8671,100.8
Kota Bekasi,2627.2,1.18,5.27,12332,101.1
Kota Depok,2145.4,1.55,4.3,10732,101.5
Kota Cimahi,590.8,1.41,1.18,13924,101.7
Kota Tasikmalaya,741.8,1.29,1.49,4033,102.7
Kota Banjar,207.5,1.17,0.42,1584,100.8
Jawa Barat,49927.4,1.18,100,1346,102.7
